LAMMPS (10 Sep 2025)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (13.349999 13.349999 13.349999)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  108 atoms
  read_data CPU = 0.001 seconds
CUDA found, setting device type to torch::kCUDA.
Loading MACE model from "ar_finetune_epoch1.model-lammps.pt" ... finished.
  - The torch_float_dtype is: Float
  - The r_max is: 6.
  - The model has: 2 layers.
  - The MACE model atomic numbers are: 18.
  - The pair_coeff atomic numbers are: 18.
  - Mapping LAMMPS type 1 (Ar) to MACE type 1.
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 2 2 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mace, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 3.136 | 3.136 | 3.136 Mbytes
   Step          Time           CPU           PotEng         KinEng         TotEng          Temp          Press          Volume        Density    
      1460   0.73           120.46049      192.98648      3.4179781      196.40446      247.12738      157442.17      2379.2701      3.0110926    
      1470   0.735          121.26762      192.89801      3.4879349      196.38594      252.18541      157307.09      2379.2701      3.0110926    
      1480   0.74           122.07393      192.75263      3.617212       196.36984      261.53242      157090.22      2379.2701      3.0110926    
      1490   0.745          122.87913      192.56375      3.7917142      196.35546      274.14933      156813.59      2379.2701      3.0110926    
      1500   0.75           123.68754      192.35078      3.9912513      196.34203      288.5763       156506.79      2379.2701      3.0110926    
      1510   0.755          124.49734      192.13587      4.1928173      196.32869      303.14996      156202.06      2379.2701      3.0110926    
      1520   0.76           125.30311      191.94013      4.3743531      196.31449      316.27541      155929.76      2379.2701      3.0110926    
      1530   0.765          126.1122       191.78052      4.5179952      196.29852      326.66105      155712.68      2379.2701      3.0110926    
      1540   0.77           126.91863      191.66788      4.6121812      196.28006      333.4709       155565.2       2379.2701      3.0110926    
      1550   0.775          127.72468      191.60627      4.6524554      196.25872      336.38282      155491.01      2379.2701      3.0110926    
      1560   0.78           128.5336       191.59333      4.641123       196.23445      335.56346      155484.59      2379.2701      3.0110926    
      1570   0.785          129.34046      191.62153      4.5860454      196.20758      331.58123      155532.73      2379.2701      3.0110926    
      1580   0.79           130.14876      191.67976      4.4989267      196.17869      325.28236      155617.45      2379.2701      3.0110926    
      1590   0.795          130.95565      191.75513      4.3934163      196.14854      317.65372      155718.19      2379.2701      3.0110926    
      1600   0.8            131.7637       191.83465      4.2832131      196.11787      309.68578      155815.77      2379.2701      3.0110926    
      1610   0.805          132.57222      191.90708      4.1802356      196.08731      302.24028      155895.15      2379.2701      3.0110926    
      1620   0.81           133.379        191.96441      4.0929594      196.05737      295.93002      155947.61      2379.2701      3.0110926    
      1630   0.815          134.18414      192.00319      4.0251769      196.02837      291.02919      155972.14      2379.2701      3.0110926    
      1640   0.82           134.98921      192.0249       3.9755701      196.00047      287.44251      155974.76      2379.2701      3.0110926    
      1650   0.825          135.79293      192.03539      3.9384382      195.97383      284.7578       155966.66      2379.2701      3.0110926    
      1660   0.83           136.59803      192.04293      3.9056098      195.94854      282.38423      155960.49      2379.2701      3.0110926    
      1670   0.835          137.40219      192.05556      3.8691434      195.9247       279.74762      155966.9       2379.2701      3.0110926    
      1680   0.84           138.21028      192.07838      3.8241284      195.90251      276.49294      155991.37      2379.2701      3.0110926    
      1690   0.845          139.01702      192.11138      3.7708011      195.88218      272.63726      156031.05      2379.2701      3.0110926    
      1700   0.85           139.82057      192.14861      3.715284       195.86389      268.62325      156075.8       2379.2701      3.0110926    
      1710   0.855          140.6259       192.17921      3.6685964      195.8478       265.24763      156109.02      2379.2701      3.0110926    
      1720   0.86           141.42804      192.18988      3.6440991      195.83398      263.47642      156111.93      2379.2701      3.0110926    
      1730   0.865          142.23097      192.16836      3.6540435      195.8224       264.19543      156067.65      2379.2701      3.0110926    
      1740   0.87           143.03302      192.1067       3.7061597      195.81286      267.96355      155966.5       2379.2701      3.0110926    
      1750   0.875          143.83552      192.00398      3.8011137      195.80509      274.82893      155808.55      2379.2701      3.0110926    
      1760   0.88           144.64014      191.86731      3.9313353      195.79865      284.24424      155605.22      2379.2701      3.0110926    
      1770   0.885          145.44376      191.71155      4.0814127      195.79297      295.09516      155378.07      2379.2701      3.0110926    
      1780   0.89           146.24761      191.55734      4.2300279      195.78737      305.84037      155155.47      2379.2701      3.0110926    
      1790   0.895          147.05067      191.42793      4.3531982      195.78113      314.74586      154969.59      2379.2701      3.0110926    
      1800   0.9            147.85406      191.3453       4.4283475      195.77364      320.17932      154849.48      2379.2701      3.0110926    
      1810   0.905          148.65647      191.32604      4.4385108      195.76455      320.91415      154817.44      2379.2701      3.0110926    
      1820   0.91           149.46309      191.37809      4.3758198      195.75391      316.38145      154884.15      2379.2701      3.0110926    
      1830   0.915          150.2667       191.49886      4.2434195      195.74228      306.80862      155045.73      2379.2701      3.0110926    
      1840   0.92           151.07223      191.67529      4.0552287      195.73052      293.202        155284.87      2379.2701      3.0110926    
      1850   0.925          151.87797      191.88621      3.8335007      195.71971      277.17058      155572.75      2379.2701      3.0110926    
      1860   0.93           152.68388      192.10606      3.6047947      195.71086      260.63463      155874.2       2379.2701      3.0110926    
      1870   0.935          153.49023      192.30928      3.3954427      195.70472      245.49802      156153.55      2379.2701      3.0110926    
      1880   0.94           154.29499      192.47423      3.2276417      195.70187      233.36564      156379.24      2379.2701      3.0110926    
      1890   0.945          155.09936      192.58568      3.1169452      195.70263      225.36203      156528.64      2379.2701      3.0110926    
      1900   0.95           155.90685      192.63583      3.0713883      195.70722      222.06817      156589.58      2379.2701      3.0110926    
      1910   0.955          156.71382      192.62391      3.0919314      195.71585      223.55348      156560.26      2379.2701      3.0110926    
      1920   0.96           157.51963      192.55517      3.1735354      195.72871      229.45363      156449.12      2379.2701      3.0110926    
      1930   0.965          158.32821      192.43976      3.3061983      195.74595      239.04545      156273.58      2379.2701      3.0110926    
      1940   0.97           159.13392      192.29189      3.4757293      195.76761      251.30292      156057.56      2379.2701      3.0110926    
      1950   0.975          159.94027      192.12888      3.6646068      195.79348      264.95918      155829.19      2379.2701      3.0110926    
      1960   0.98           160.74591      191.96952      3.8535075      195.82303      278.61712      155617.36      2379.2701      3.0110926    
      1970   0.985          161.5512       191.83174      4.0237039      195.85544      290.92269      155448.46      2379.2701      3.0110926    
      1980   0.99           162.35651      191.72986      4.1598494      195.8897       300.76631      155342.05      2379.2701      3.0110926    
      1990   0.995          163.16162      191.67241      4.2523215      195.92473      307.45225      155309.08      2379.2701      3.0110926    
      2000   1              163.9644       191.66113      4.2984774      195.9596       310.78942      155349.98      2379.2701      3.0110926    
Loop time of 163.965 on 1 procs for 2000 steps with 108 atoms

Performance: 0.527 ns/day, 45.546 hours/ns, 12.198 timesteps/s, 1.317 katom-step/s
99.8% CPU use with 1 MPI tasks x 1 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 163.91     | 163.91     | 163.91     |   0.0 | 99.97
Neigh   | 0          | 0          | 0          |   0.0 |  0.00
Comm    | 0.019839   | 0.019839   | 0.019839   |   0.0 |  0.01
Output  | 0.025571   | 0.025571   | 0.025571   |   0.0 |  0.02
Modify  | 0.0045266  | 0.0045266  | 0.0045266  |   0.0 |  0.00
Other   |            | 0.002632   |            |       |  0.00

Nlocal:            108 ave         108 max         108 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:           3322 ave        3322 max        3322 min
